comment_id,user_name,content
2024047334742050,Lê Phượng Anh,Chưa học xong văn hoá là đi học nghệ thuật rồi.
2024048528075264,Cao Phương Kiều Lan,"Xe Bác hay dùng, nhìn thương quá, giản dị ❤️"
2024057018074415,Nhã Trúc,Ntn có ai nói 🙂
2024052154741568,Ánh Dương,Ủa sao ko để hình này mà để hình kiểu đó vậy trời ? 🙂
2024053588074758,Thảo Thiên Thần,"Ngày xưa nhiều ng toxic, chê bạn V kia EQ thấp thiếu suy nghĩ t k tin nha, nhưng giờ t tin r 😳"
2024056551407795,Khổng Thông,Còn những thành phần kiểu 😏
2024047578075359,Phương Trinh,Việc học quan trọng lắm
2024047551408695,Diệu Chu,Hãm k chịu nổi
2024058964740887,Đại Lâm Mộc,Thà chúng mày đừng thay ảnh đen trắng đi cho rồi 😤
2024054911407959,Linh Bean,Trời 2 bà này bị sao vậy :(((( nhưng mà bà DKV chắc bị hack chơi đểu chứ ai lại tưởng nhớ cười hớn mặc bkn :(((
2024047264742057,Trang Pham,Não phẳng
2024047994741984,Chiêm Nguyễn,"Mng thông cảm cho hai cô ấy, họ làm nghệ thuật đã vất vả rồi, cho họ về vườn nghỉ ngơi cho đỡ mệt đỡ áp lực cv nha，khổ, đã thiểu năng trí tuệ rồi vẫn phải đi làm nghệ thuật, khó khăn chẳng ai hay"
2024050261408424,Mi Nhon,Kieu My 😌 khó hiểu quá
2024048621408588,Nguyễn Vũ Diệu Ái,Ủa cũng lớn r cái này rất là phản cảm luôn nhìn vô là thấy liền mà sao 2 mẻ lại k nhận ra zậy?
2024050521408398,Nguyễn Thế Mạnh,2 con tinh trùng khuyết tật
2024068734739910,Loan Vũ,Bị mất não à
2024053831408067,Hiên Hạnh Trần,Lý Mai Mây m nói đây à
2024106108069506,Dung Vũ,Hoàng Thủy mời chị thẩm
2024072478072869,Trường Iori,Nguyễn Diễm Quỳnh Hương em tiễn Bác chưa ?
2024130071400443,Quyên Quyên,Minh Châu là s nữa
2024216844725099,Nguyễn Tuấn Kiệt,Thanh Thảo cho xin ý kiến về 2 chị dix này koai
2024053464741437,Đồng Phương Thảo,Haidang doo thì sao mng :))
2024048854741898,Kim Dương Yến,Nó ngu thiệt hay giả bộ ngu zậy
2024058111407639,Hoang Ha Evisu,cho về vườn luôn👌👌🤣🤣
2024116844735099,Hồng Sơn,Hương Giang đã vậy còn cười tươi cầm hoa chứ
2024061038074013,Lê Hồng Quân,"nói ngu thì tự ái
nói khen thì mình lại là thằng ngu"
2024076381405812,Ngân Phạm Hansen,Tổ sư :))))))
2024680941345356,Gia Hân,Sao tìm fb nhỏ khánh vân ko ra ta
2024047398075377,Tuyền Huỳnh,"Má , t cũng lạy cách suy nghĩ"
2024050961408354,Dũng Lê,Vl =))
2024069011406549,Chưa Nghĩ Ra,Thanh Huyen chắc giả vờ thôi chứ con ng ai nguuu vậy dk bác nhỉ😁
2024049488075168,Huỳnh Công Trực,Có chia buồn có thương tiếc nhưng ko đáng kể 😔tại chọn cách chia sẻ ko ai ngu bằng 🥴
2024066014740182,Khánh Móm,Hay làm màu mà lại thích để trắng đen
2024047538075363,Nguyễn Vũ Huy,2 con ngáo
2024047001408750,Xuan Luc,Lì nhất cái showbit
2024232611390189,Thiên Anh,"Đụng đến chính trị thì thua rồi
Giống kiểu cố tình chứ ko nghĩ gần 30 mà đầu óc ko biết suy nghĩ như v đâu 😌"
2024047681408682,Nguyễn Thuỳ Linh,Ất ơ dẩn dợ
2024053478074769,Hà My,Đúng là bọn dùng để giải trí mà
2024049018075215,Nguyễn Thu Hương,Ko biết trong đầu chứa 🧠 hay chứa …😤
2024072971406153,Thanh Huyen,T lạy Chưa Nghĩ Ra
2024166728063444,Su Hào,2 con óc lợn
2024159044730879,Nguyễn Duy,Khó chịu vô cùng
2024120198068097,Đồng Trang Bi,2 con điên
2024074381406012,Nguyễn Phương Thúy,Dở người 😓
2024054124741371,Thương Hoàng,Bọn ko có não
2024062008073916,Tâm Thanh Thanh,Thái Ngọc Hàn tiễn biệt dữ chưa chị 😑
2024051814741602,Hà Thu,Châu Minh chịu bà Vân kia
2024051268074990,Phương Phương,Con NT 🤣
2024048638075253,Huệ Lyn,2 con dở
2024048581408592,Nham Nguyen,Vô ý thức đến thế là cùng.
2024053784741405,Nguyễn Thị Huyền Linh,Cứ để bth. Chia sẻ bài chia buồn thì k chịu
2024680834678700,Huyền An,2 con não ngắn
2024203771393073,Nguyễn Thắm,Con vân thì đúng nhưng nam thư có nói j liên quan đến bác đâu ?
