comment_id,user_name,content
2029691617510955,Hương Chi,Xin vía tóc dày ạ. Tóc rụng sắp hói đến nơi rồi.
2029424320871018,Trần Ngọc Trinh,xin vía
2029437640869686,Uyên Hoàng,Lâm Tặc xin vía
2029449137535203,Phạm Bình,Thành tâm xin vía 🙏🏻
2029450790868371,Su Beo,Quynh Tien chê đi 🥲
2029426587537458,Kim Anh Pleiku,Ui này cho mình giựt vía luôn được không chứ xin hơi lâu 😭😭
2029628310850619,Na Na Nguyen,Xin vía
2029451244201659,Mộc Nguyên,"Hồng Đào kẻ ăn ko hết, người mần ko ra. 🥴🥴🥴"
2029486874198096,Phương Trinh,e xin vía cho c gái của e Ruby Nguyễn
2029458034200980,Lam Xuan Yen,"Xin vía, xin vía, người nhiều ko kể hết, người lần chẳng ra😭😭😭"
2029436417536475,Ngân Ngân,Xin víaaa
2029485867531530,PT Hương,thành tâm xin vía ạ
2029663474180436,Minh Minh,Đã quá. Xin vía đi ạ
2029637734183010,Lý Yên,Thành tâm xin vía ạ
2029452824201501,Bích Bibi,Trần Đỗ Gia Trang tang cho Trang thèm 😆
2029605034186280,Huyền Huyền,Nguyễn Thị Diễm Linh :)) lên cân đi
2029440344202749,Lại Ngọc Tuyền,Lại Ngân hời ơi xem nèe
2029445040868946,Lê Thị Hồng Vân,Nguyễn Vân cỡ này đã là gi vs bạn nhể
2030156564131127,Thu Uyên Hồ,Kim Ngân học tậpppp
2029967707483346,Dương Tú Anh,E xin 1 phần của b này thôi
2029506330862817,Tran Phuong Hoa,Tóc của t = 1/5 đây. Khóc trong lòng luôn 🥲
2029424480871002,Nguyễn Thị Thu Hồng,Hong Nhung NT cố gắng chăm tóc tgeem nữa v
2029554820857968,Phượng Hoàng,Ai cũng ước mà đâu hiểu nỗi khổ 😭
2029596990853751,Mỹ Linh,Xin vía ạ
2029509147529202,Annie Nguyễn,Khó chiuj vo cùng Mỹ Hưng
2029436827536434,Yến Nhi,Thanh Yến ganh tị :))))
2029493887530728,Mai Thảo,Denny Tran chị chứ k ai
2029447914201992,A Sao Tran,Tuu nhìn mà mê 😌
2029655347514582,Bách Hợp,Kim Ngân đối thủ của chị
2029558430857607,Lien Ng,Thuy Anh hihi
