comment_id,user_name,content
1877118772768241,Rachel Nhi Ton,Ghiền là mua hoài khó bỏ
1877120432768075,Minh Huy,Sương sương 1 tủ nhỏ
1877134196100032,Phuong Quach,"Chào người anh em, bạn ko cô đơn 😅"
1877139686099483,Nguyễn Hoàng Luân,Mấy chai trong 1 tủ nước hoa 😅
1877115149435270,Nguyen Tran Minh Thuy,nam dùng mùi nào ok v mn
1877157436097708,Hien Hoang,Cái chai CK kia nam dùng có ok kh hả mn oi
1878275885985863,Pham Vi Anh,cái matcha meditation kia mùi như nào vậy ạ có ngọt quá không ạ 🥲
1877129352767183,Thao Nguyen,Mình xin địa chỉ mua L'imperatrice với ạ. Mình có ý định mua mà chưa biết nên mua ở đâu hết 😅
1877110376102414,Hải Bình,Ai có LV spell chiết ko ạ
1877226826090769,Nắng Ban Mai,xin loai có mùi chanh
1877114469435338,Fuyu Nguyễn,Đam mê nước hoa nên chỗ này mới là một nửa 🥲
1877123416101110,Vũ Trung Kiên,Tốn máu vl 🙇🏻‍♂️
1877131796100272,Dưa Hấu,Sương sương vài chục chai
1877104772769641,Linh Nguyễn,"Cho mình xin ít review mùi của chai versace đi, tính mua nhưng hok biết mùi có thơm và lưu hương hok🤔"
1877124299434355,Trà My Phan,Mình xin địa chỉ chai Nishane ạ
1878037426009709,Khoa Khuu,"Hôm nào mấy chị thử mua nước hoa bên em xem sao, em có cả full cả chiết đa dạng mẫu mã. Đảm bảo auth 100%, nếu fake em xin đền lại 10🥰🥰🥰 lâu lâu em cũng có sale nên mấy anh chị đừng ngại ngần ibx em săn sale nha 😘😘😘"
1877124259434359,Thu Hien Nguyen,Chốt đơn ít thôi Nguyễn Ngọc Tú
1877542826059169,Nhat Truong,hàng real k dị m.ng
1877694422710676,Nguyễn Đinh Huy,Phạm Lâm Thanh Trúc khó bỏ lắm :))
1877138396099612,Trang Hoàng,Kim Ngân flex 🤣
1877122832767835,Chuyên Review Chính Hãng,"https://shope.ee/kEf8SZEJ
Xài nar trắng 10 người khen hết luôn, thử chiết đi là qua full luôn ."
1877183526095099,Hoàng Phạm Thanh Trúc,"Hứa với lòng ko mua nữa, hồi quất con Gucci tím 🙃 mà mùi thơm thiệt"
1877857882694330,Mỹ Na,"https://shope.ee/9KHvpSFhyi ,
chỗ này packaging đầu tư lắm, mang tặng cũng ok nè..."
1877631462716972,Hương Lan,Nước hoa này xinh quyến rũ nè https://shope.ee/A9r2Cwsm7c
1877590259387759,Nguyễn Hoàng Hà,Zàu quá ạ
1877149906098461,Diệu Dung,Linh Võ nghỉ coi
1877177289429056,Cao Mỹ Trinh,Cũng sương sương một chút
1877150379431747,Nguyễn Thị Thùy,Xịn luôn
1877142962765822,Việt England,"Nói thật là đừng nên dính vào, dính vào là nghiện. Khổ vl"
2030759380737512,Diệp Linh,Mình pass 10ml mới nhận xong do ko hợp mùi 😭
1878504849296300,Helen Nguyen,Ko biết mua shop nào mới chuẩn auth hàng fake nham nhảm thị trường toàn phải nhờ xách tay về 🥶
1877152372764881,Đặng Thị Hoàng Anh,Đam mê rồi bán luôn.. 😂
1877167722763346,Phuoc Ngo,Có mấy chai để lâu không dùng muốn pass giá tốt quá 🤦🏻‍♂️
1877149949431790,Ckéc Lo Mo,Rảnh qua tao mua nước hoa đi ... dăm ba cái thứ nghiện ngập cai không đc đâu
1877127456100706,Khanh Phạm,Full chiết có đủ nha
1877288599417925,Phương Hằng,Set mini xinh nè
1877110976102354,Trân Nguyễn,Mọi người thử dòng này cũng hot lắm nè Chloé mùi thơm sang mà giá ổn nữa lưu hương 6-7 tiếng luôn https://shope.ee/LN51oRNJh
1877173736096078,An Yên,"kkk, yêu nước hoa quá, nên tậu luôn các ẻm nè. mỗi ngày sài 1 mùi cho hết nghiện 🤭"
1877428716070580,Nguyễn Ngọc Thảo My,Fb em có đủ loại giá iu 💗 bao check
1878143765999075,Vi Phương,Mùi nào cho nữ ngọt mà sang vậy mn 🥹
1877542549392530,Nguyên Lê,Chị nào anh nào kiếm nước hoa j inb em nạ nha
1877105682769550,Nhã Trúc,"Mọi người thử qua rose 31 chưa. Thơm khác biệt thật sự
https://shope.ee/2VRZajfSLq"
1877123442767774,Thùy Dương Phan,"Nữ dùng mùi này mùa đông nghiện lắm nè
https://bom.so/tPZksf"
1877309529415832,Nguyễn Long,Lúc thơm lúc không 🥲
1877145722765546,Phương Anh Lê Thùy,Y dị nha :))) ko cần lướt tóp tóp đâu đi ngang ai thấy mùi thơm là auto hỏi mùi gì
1877161862763932,Đới Nga,chà sân chơi lớn nhĩ Ngọc Quỳnh Đới
1877611529385632,Nguyễn Mai Loan,Trần Việt Aanh đâu cũng thấy dấu răng
1877768669369918,Vy Vy,Mấy má cẩn thận mua phải pha kè nha. Một trong những đặc điểm của auth là ko thấy ống nhựa bên trong nha.
