comment_id,user_name,content
1022970348183092,Long Nguyễn,"Mình là người post bài ạ, mình cảm ơn bạn Lường đã đưa giúp mình vào. Chắc do Facebook ko có tính năng tải video nên mình xin bổ sung bằng chứng quan trọng là clip ạ.

Mình đứng từ xa gọi, bạn mình vờ vô quán mua cafe xong rồi quay. Vì có tham khảo công an và luật sư nên thu thập bằng chứng âm thầm nên mình không ập vào ẩu đả được.

Mình cảm ơn mọi người"
1023931794753614,Khắc Vũ,"Xin chào mọi người, mình là bạn của Long-người cùng Long đi quay Video hôm đó. Mình xin thay mặt Long gửi thêm tính xác thực cho Video ạ, do có nhiều bạn thắc mắc chưa thấy bấm gọi cho Song Lan. Thành thật tụi mình đã cố gắng hết sức cẩn trọng và bình tĩnh nhưng cũng hơi rối, mọi người thông cảm cho tụi mình.
Cảm ơn mọi người!

https://www.facebook.com/100003142663190/posts/3235197683261622/?d=n"
1023840924762701,Kiki San,"Ko biết sao ghét ông này 10 mình ghét bà mẹ 9. Mẹ gì nhu nhược quá mức. Đẩy con trai mình ra đường và đưa con gái vào nguy hiểm chỉ vì 1 con cu vừa xấu vừa già, được mỗi cái dâm!"
1022948261518634,Phạm Trần Quang Dương,"🅱️Zalo nó 0913.919.580 mn ơi

🅱️Mng đi ngang xin 1 like để cmt lên top ạ"
1023256464821147,Chi Nguyen,"Chúng mày đừng có dùng từ giảng viên giáo viên với thằng này nha, nó chỉ là dạy tiếng Nhật cho công ty du học của nó thôi, chưa chắc có bằng sư phạm chính quy đâu mà xưng giáo viên hay dạy đại học mà đòi làm giảng viên. Đứa nào mà nó dạy tiếng cho thì mới gọi nó là thầy thôi, éo phải nhà giáo chân chính đâu mà đc xưng thầy khắp nơi.

Công việc của nó là tư vấn du học và giảng dạy tiếng Nhật thôi à, ngữ này làm việc ko có tâm ko có đạo đức thì có khi cũng lừa thêm cả học viên khác ko chừng đấy."
1022993741514086,Trần Phương Anh,"Ảnh chụp tin nhắn mẹ mình gửi mình, đã thừa nhận và nói xin lỗi muồn giải bày, mình chẳng biết giải bày gì ở đây nữa rất may là bằng chứng có đầy đủ hết.

Con gái ông Khanh bên Nhật báo xấu post mình...nói mình ném đá giấu tay, vậy thì TẠO TÀI KHOẢN GIẢ KÊU EM GÁI MÌNH GỬI HÌNH KHỎA THÂN, GỬI SỐ ĐO 3 VÒNG gọi là gì vậy?

Mẹ mình từ chối trả lời rồi, mong mọi người đừng nói mẹ mình vô năng hay gì đó, vì kế hoạch này mình làm âm thầm vì sợ càng nhiều người tham gia thì càng dễ vỡ ạ.
(Long Nguyễn)"
1022984314848362,Ngs Minh,"Gửi em. Nếu thấu đáo. Em đừng vội khi chưa nắm chắc phần thắng. Làm gì khi ra pháp luật cũng nên có bằng chứng, nhân chứng rõ ràng. Như vậy mới bảo vệ dc quyền lợi cho em dc. Em nên nhớ khi vụ này ra ánh sáng. Nếu em ko có gì bằng chứng nếu gã kia có mqh bên ngoài sẽ dể bị dập tắt. Mà em lại ko làm dc gì gã. Em nên xác định rõ ràng mục đích em muốn gã này bị như nào bị mất việc, đi tù. Thì em phải rõ luật. Trước tiên e nên tìm hiểu luật về vấn đề này. Tiếp em nên củng cố nhân chứng, vật chứng để đối chất khi vụ này ra ánh sáng. Tiếp em nên tìm hiểu trình tự trừng trị gã để đưa vụ này ra bên ngoài. Em nên tìm luật sư để dc tư vấn củng cố bằng chứng và cách tố cáo gã. Họ sẽ hướng dẫn em và bảo vệ quyền lợi cho em trước toà. Em là Nguyên đơn muốn kiện ai đừng vội hành động theo cảm xúc em nhé.
Em nên cẩn thận ko gã sẽ lợi dụng mẹ em để tiếp cận em xóa dấu vết, bằng chứng nếu em để sơ hở. Thường những gã ntn. Rất tinh vi và rất dể cảm nhận dc."
1022972034849590,Trina Nia Nguyen,"Vs chừng này bằng chứng, mình nghĩ bạn báo công an được rồi đó. Nếu tin tưởng mẹ thì để em ở vs mẹ, còn k thì đưa em rời nhà luôn. Nếu muốn giúp đỡ về truyền thông, bạn có thể thử gọi đến tòa soạn báo Hoa Học Trò nhé."
1022914984855295,Thanh Thanh,Tự hỏi người mẹ đang ở đâu? Tại sao ko bảo vệ những đứa con của mình?
1022925114854282,Chinh Phạm,Gửi mng chút thông tin ạ :))).
1023079234838870,Nhu Tran,"Báo nhà trường nó đi. Loại này phải cho nó thân bại danh liệt, để cả xã hội xỉ vả, gia đình quay lưng mới vừa. Cho nó vào tù để mấy ông trong đó thông nát nó đi. ĐM dòng dơ bẩn, làm ô uế chữ ""giáo viên""."
1022920074854786,Phạm Thị Như Ngọc,Ông này có trong group 🙂
1022962041517256,Phan Hoài Thương,"Như này có xứng đáng làm mẹ của con mình ko vậy trời ??? Hỏi thế gian mẹ gì mà mẹ đi cặp bồ còn để bồ mình đuổi con gái ra khỏi nhà . Trời ơi giờ đứa t2 bị đe doạ sẽ bị hiếp nữa. Bà mẹ độc ác kia ơi, bà có thấy được bài viết này của con gái mình không vậy?"
1023023524844441,Vãn Thiều Hoa,"Ban đầu còn thấy tội 2 đứa con ổng vì tự dưng bị kéo vào mà giờ t hết thấy tội cho bà con gái rồi ấy, bố làm thế mà con vẫn bênh được, đi report bài của bạn Long, kêu bạn ấy là ném đá giấu tay thì bị chửi cho cũng 🥥 lắm."
1022986471514813,Trixie Tran,"Cảm ơn bạn up bài, mình gửi thêm clip nhé"
1023315178148609,Yến Mơ,Đầu tiên là phải giải quyết cái bà mẹ trước dẫn sói vào nhà hại các con mình. Nhiều người kì chấp nhận tin người ngoài chứ không bao giờ chịu tin lời con mình nói.
