comment_id,user_name,content
1997700887376695,Huỳnh Thanh Thư,Đẹp mà. K make up thôi
1998975343915916,Tiên Tiên,Nguyễn Hương Giang a Phúc đã bh bảo là bị lừa chưa 😂😂😂
2006075026539281,Kim Ngân,Phạm Trinh Trịnh Ngọc Hào hahaa hết hồn chưa
1998519663961484,Minh Phương,Hoàng Thị Thương giống ai :))
1997759950704122,Ớt Phượng,Linh Nhi cứ như nói tụi mình 🤣
1997878077358976,Huỳnh Bích Ngọc,Huỳnh Như Ngọc bà đó chớ ko ai sai Phong Đình Trần Thành =))
1998051220674995,Thai Thuc Anh,Thai My Anh m đó
1997716987375085,Hoài Thu,Phạm Thị Thùy Dương nhột
1999202403893210,Lê Mỹ Quyên,Ủa t thấy dt mà chẳng qa k makeup thôi
1998817100598407,Ngõ Ênuôl,Tranh Êban ở ngoài bé cũng xênh🌚
2009652729514844,Lê Ngọc Quý An,Thanh Nga Thúy Nga đi làm dí đi chơi tưởng thay đầu đổi ngừi he :)))
1997733624040088,Phan Thanh Hường,Trương Khởi Linh nhột vcc 🤣🤣🤣🤣
1998359910644126,Nguyễn Bảo Kha,Trần Thị Thùy Trang má cốt bà phải hong 😂
1997849040695213,Tén,Thuỳ Linh t
2023032048176912,Thuỳ Lâm,Tú Mai kkk
1997907274022723,Chy Babie,Thanh Thảo kkkk
1997874817359302,Trà My,Phạm Nguyễn Hạ Uyên uyên à 🤣
1997916357355148,Thuy Duong Dang,Xin lỗi dc chưa
1999398187206965,Kpă Tú,"Phi Hoài Nguyễn lúc i chơi phải makeup đẹp, lúc ở nhà mặc phènn gấp đôi nhợ"
1997814510698666,Nguyễn Thu Thảo,show ko Nguyễn Thị Tâm
1997702384043212,Phương Tii,Lý Hà Trang kkkk bà thím 70kg
1997878690692248,Ngan Ha Le,Nguyễn Hoàng Quốc Việt xin lỗy
1998509667295817,Nguyen Thuy Duong,xin lỗi :))
1998116330668484,Lê Hoàng Bảo Linh,Nhi Nhi kkkk
1997838560696261,Choco Nguyễn,Phong Lư làm hình cô yến ko Ngọc Yến
1997749194038531,Thái Sử Ngọc Hân,Minh Huệ ai thấy quen quen 😆
