comment_id,user_name,content
2033769520436498,Jolly Nguyen,Ước da ko mụn như cậuuuu
2033752837104833,Minh Tâm Nguyễn,"Bé này có dáng tai thông minh. Gương mặt bé xinh mà, chỉ cần đổi kiểu tóc 1 chút là ok nè. Đừng đi chỉnh sửa gì nhé bé ❤️"
2033743810439069,Minh Phùng,😄Thấy xinh mà nhỉ
2033763857103731,Đặng Diệp Mỹ Tuyên,Xét từng nét k xinh nhưng tổng thể lại hài hoà nè. Mũi e cũng k phải quá tẹt đâu bé. Cứ tự tin nha. Cần nhất là dưỡng da và làm cho da đều màu sáng lên là sẽ ok hơn á.
2033828340430616,Phan Huyền Ny,"Xinh rồi e đừng sửa gì, tập makeup chăm da và tóc, học cách phối đồ và phụ kiện"
2033826370430813,Diamond,Tổng quan là xinh nha bé
2033805097099607,Nguyễn Bảo Quyên,Cười nhiều lên nha bé… quan trọng là thần thái… tự tin lên nào… bé xinh lắm đó
2033847353762048,Sophia Lai,"Chữ M của em nhiều ng muốn k có được nên k phải tự ti. E tập trang điểm và chăm da là xinh ngay vì quan niệm rõ rồi, k có người xấu chỉ có người chưa biết làm đẹp thôi"
2033764103770373,Thị Mỵ,K son phấn nhìn vẫn xinh tươi thế
2033764180437032,Gia Thơ Phạm,Xinh rồi em ơi
2033767500436700,Nguyễn Tiên,E ko biết xài app vs ko biết cách chụp thôi chứ e xinh tự nhiên
2033759047104212,Minh Nhw,Tự tin nữa là đẹpp-)) thêm xíu pts là so beautiful
2033798253766958,Đặng Lê Thảo Linh,Học makeup là được nha e
2033744847105632,Vũ Hương Lan,Ơ xinh mà=))
2033744397105677,Phạm Hoàng Vĩnh Hải,Có xấu đâu?
2033758020437648,Phương Thúy,"V là xinh rồi, chưa dậy thì mà ."
2033746920438758,Lê Lam Tường Vi,Chải ngôi tóc 6/4 - 7/3 xem sao b
2033828130430637,Ngân Ngân,"Tập make up thêm xíu là tươi tắn, còn nét vậy đẹp rồi, đừng chạy theo xã hội"
2033817710431679,Phương Thủy,"Em rất xinh đẹp,cái e cần thay đổi là suy nghĩ của em về bản thân mình."
2033771190436331,Hoàng Minh Đức,Cứ xingtu ấn auto là xong :)))
2033761873770596,Hảo Lớ,Xinh mà chời
2033757250437725,Hoàng Hương Giang,xinh mà em ơi
2033748843771899,Vũ Thị Huyền Trang,"Tập makeup đi b, mình thấy bạn ngũ quan hài hoà, xinh đó"
2033746747105442,Cẩm Hà,T thấy bạn cứ chụp ntn là xinh rùi đó ko sao đâu nha
2033743897105727,Hoàng Thị Kim Chi,Tổng quan ổn là đc mà bạn
2033843330429117,Nguyễn Mai Tây Ga,"E xinh quá chừng mà , giờ chỉ cần chăm cái da cho khoẻ k mụn là đẹp gái lắm rồi nè"
2033746857105431,Lee Nguyễn Bảo Anh,Xinh mà ní
2033839410429509,Đinh Thiên Vũ,Dùng góc nghiêng 3/4 khuôn mặt đi e
2033802523766531,Kỳ Lưu,"C thấy nét vậy là quá đẹp rồi, biết makeup sơ sơ nữa là xuất sắc! Đừng quá áp lực làm mất vẻ tự nhiên của mình e nhe"
2033749177105199,Phô Mai Que,"Đổi kiểu tóc cho mới lạ đi b, nhuộm luôn càng oki."
