comment_id,user_name,content
2029659980847452,Pé Tina,Mẹ 99 3 đứa
2029646414182142,Trần Hương,"Mẹ 94, con còn ở dưới móng chân :))) trend này t thua"
2029640324182751,Nguyễn Thị Thuỳ Dung,"T 99
T chưa chồng
T xin thuaaaa"
2029644930848957,Minh Thư,Mẹ 99 con 2018 😌
2029694540843996,Thuỳ Linh,Đan Đan Đan quì xún =))
2029645800848870,Duyên Suri,"Nói ra sợ mọi người cười, em 1997: bé 2017,2018,2021😆"
2029643114182472,Phan Bảo Ngọc,Mẹ 95 con 2024 :)))
2029662124180571,Vũ Trà My,Lan Hoàng Nguyễn Trần Thị Quỳnh Nhi Lê Huyền Trang kìa các elm
2029714410842009,Trang Trang,Phón Phón đu trend đi bà :))))
2029649810848469,Huỳnh Thị Thùy Vân,Có gì để flex vậy ạ?
2029662064180577,Hoàng Thu Trang,Nhung Su ảo thật đấy
2029702250843225,Huyền Trang,Vân Anh Bu Trang may quá vẫn theo kịp các em
2029667080846742,Phi Yen,Hà Trần thua tụi nhỏ r kìa
2029713727508744,Hân Hân,Yuki Nguyễn Tú Bích để đây hk nói j....
2029684837511633,NP Uyên Nhi,Lê Long chúng ta khum cô đơn
2029724687507648,Hoai Nguyen,"Chiều Chiều nhìn các cháu mà học tập, giờ ngta phải flex như này :))) 30t rồi mà k có ny, con ngừoi phải có ý thức chứ 😂"
2029817130831737,Mai Thanh,Em mình 2k8 vẫn đợi mình về mua cay cay ăn chung 🥹🥹
2029640584182725,Trương Hương,Ton Tran Ngoc Trang trend này m đu đc
2029670740846376,Lê Trần An Nhiên,Trần Bol thua xa rồi
2029726520840798,Phương Đài,Nguyễn Thảo m đu k
2029751164171667,Tuyết Băng,Nguyễn Hoài Chính tag chị toai vô để đây thoai
2029978954148888,Huỳnh Phuong Anh,Hải Nghi tự tạo độ khó cho game🙂
2029666680846782,Cẩm Ly,Phan Thị Hải Yến trend này
2029649917515125,Bích Liên,Thua😌
2029663107513806,Thảo Nhi,Mei Rosiee hi hoá ra cta ko phải là người ít tuổi nhất
2029707384176045,Nguyễn Thị Thảo Tii,2k1 xem xong uống sữa r đi ngủ tiếp
2029678974178886,Tiếtt Giangg,Cháu chịu =))
2029711957508921,Yến Yến,Minh Lý xem thôi đừng nói gì
2029738047506312,Thanh Ha Bui,Bùi Ngọc m coi đi mà học tập các em nó.
2030223340791116,Mai Xuân Hậu,Lê Bích Ngân 98 bị hối lấy chồng 😑
