comment_id,user_name,content
2032066803940103,Phan Hàn Như Thủy,Phạm Khánh Trân mấy lúc đi mua đồ nó bần gì đâu
2031365410676909,Trâm Hồ,Võ Diệu Linh e hèm
2031393947340722,Thảo Lương,Truong Thanh Huyen dni body ngol he
2031441140669336,Nông Thị Quỳnh Trang,Chino Bich Bich sợ
2031403444006439,Duy Mỹ,"Mình đang phân vân mặt nạ collagen, nàng nào xài qua 2 loại này r cho mình xin review với"
2031940930619357,Thuyên Lê,Myhuyen Le kphai xấu mà do chưa tr đỉm 🤣🤣
2031403440673106,Thiên Quân,Võ Liêu Xuân Diễm nè he
2031686793978104,Đinh Thị Xuân Hạnh,"Mình có vài suất tặng cắt uốn miễn phí, salon ở quận 3 nha, ai cần inb m tặng ạ."
2031480443998739,Hồng Thủy,Thuỳ Dương t hồi tối :))
2033680903778693,Nguyễn Ngọc Như,Ngọc Hân nhắc vài luôn
2034343920379058,Phạm Hoàng Vĩnh Hải,"Thấy cũng sang.
Sang thế giới bên kiaaaaa"
2032338010579649,Hồng Linh,Chi iu quái
2031334450680005,Trần Gia Hân,Trần Xuân Quỳnh đi mua đồ mà ko make up mặc gì cũng xấu
2031365680676882,Trần Thị Hà My,Phương Quỳnh thật ý 🌚
2031349620678488,Nguyễn Thị Phương Dung,Kkk hên là mặc mộc cũng k tới nỗi . 😂
2031362900677160,Minh Châu,thề như con ngáo ộp :))))
2031510887329028,Hoàng Bảo,Bên Thái Lan làm tóc vs makeup rẻ lắm bà
2031374380676012,Hoàng Thái,Chúc Giang đồ mặc k có hợp gì trơn
2031531840660266,Thanh Tuyền,È hé
2031444324002351,Nguyễn Thị Thúy Ngọc,Phen ẻ luôn má oi
2031427534004030,Courtney Cao,Thử mắt kính ko son môi 🤡 Trần GiaÝ
2031364934010290,Như Phan,Nguyễn Ngọc Ánh thử đồ bịt khẩu trang vô :v
2031996303947153,Tớ Là Lù,Mẹ thề. T mặc váy mà k buông tóc xuống. Nhìn éo ngửi đc. Xoã tóc cái đã khác hẳn r chưa nói make up
2031350640678386,Hương Tiên Mai,"Đi chơi, đi ăn uống mà các bạn để môi trống trơn thì không đẹp, son môi thì lại sợ lem trôi . Mách cho các chị em bạn bè thử dòng son MOAZ của nhà Làm đẹp cùng Mỹ phẩm Mairis nha
- Bảo vệ an toàn
- Chống trôi
- Bền màu
- Mềm Mịn
- Ăn uống thả ga không lo về giá
- Không chì , không thủy ngân
Với 3 màu son chuẩn : đỏ rượu , cam đất , Hồng đỏ...sẽ mang lại cho chị em 1 làn môi quyến rũ và sexy , quý phái
IB ngay để được tư vấn và mua hàng..khi mua 1 son MOAZ sẽ được tặng 1 nước hoa trị giá 99k..nhanh tay đặt hàng nhận quà khuyến mãi nhé các chị"
2031507237329393,Ngoc Anh,Phương Vy y dị
2031407377339379,Phan Hương,Pi Trương 🤣
2034857033661080,La Thảo,Nhi Lê
2033188560494594,Chu Thu Trà,Phuong Lan
2032282090585241,Kiều Linh,Hoang Anh
2031922923954491,Yếnn Vi,Nguyễn Xuân Thành
