comment_id,user_name,content
2034289130384537,Đỗ Thị Hải Uyên,bánh đa trắng bình thường 🙂
1814796689000450,Bế Sơn,Mì tôm đen buồn ngủ
1814763159003803,NhatHa Phan,Xôi rán vàng vui vẻ =)))
1813334242480028,Diệp Hạo,Kem đen chán nản:D???
1812942052519247,Phạm Giàu,Bánh kem khoả thân zui zẻ
1812513519228767,Phượng Daily,Bim bim hắc hóa mới dậy
1812416525905133,Yu Đang Ngủ,Thịt đỏ buồn ngủ💀🌚🙏
1812104709269648,Almira Nguyễn,Khoai mật xanh dương mệt
1811782309301888,Nguyễn Thuỳ Dương De,Thịt bò đen như l... òng buồn man mát
1811208809359238,Bùi Thanh Như Thương,Chuột đồng đen dui dẻ
1810909769389142,Lê Quốc ­Kiệm,Rau muống đen buồn vcl
1810811006065685,Kaylyn Pham,Rau muống kem hơi buồn
1810805909399528,Đào Vĩ Tùng,Yến hồng nl 🥲
1810561189424000,Trần Huỳnh Nhựt,Mì gói xanh lá mệt mỏi
1810491196097666,Nhật Quang,Súp kim chi đen buồn ngủ
1808233812990071,Ngọc Phượng,trà sữa chấm bi quạo +.+!
1808229289657190,Jin Luu,Chuối xanh tiết
1808206312992821,Lê Khang,Bánh canh cua đen buồn ngủ
1808188749661244,Đặng Sơn Hải,Bụng đang không ổn nên xin phép pass game này =))))
1808011979678921,Linh Nguyen,Cháo tôm thịt rau cải đen thèm bánh kem
1807882043025248,Phạm Đăng,gà xanh đói bụng
1807854986361287,Lý Kiều Loan,Bún chó đen mệt mỏi :)))
1807726906374095,Lê Kiều Oanh,Bánh mì tím vui vẻ
1807642656382520,An Phương,Cơm trắng buồn 🫤
1807596096387176,Nguyễn Thị Yến Yến,Bún đậu mắm tôm nâu bình thường
1807573866389399,Nguyễn Quỳnh Hoa,Cháo sườn quẩy ruốc đen
1807570493056403,Vũ Hồng Ngọc,tàu phớ đen nắng cực 🌚
1807563263057126,Ánh Linh Trần,Bún chả trắng xanh xàm loz
1807551836391602,Thiệu Lê,Ức gà đen đau háng
1807502469729872,Gabriella Bui,Cà phê muối hồng buồn 🫠
1807485746398211,MyAnh Hạ,Bún cá hoa buồn ngủ
1807467459733373,Bùi Lê Phương Thanh,Sữa chua hồng buồn ngủ
1807454516401334,Linh Truc Tran,Đào hồng buồn ngủ
1807444336402352,Trúc Hợp,Bánh mì xám tiễn biệt 🥲
1807440489736070,Nguyễn Quyên,Nhãn xuồng hồng hoang mang
1807415786405207,Trang Trang Tran,Giá đỗ xào hoa buồn vì nghèo
1807007423112710,Thiên Nhi,Nguyễn Thanh Tùng bê thui xanh đen phê lòi 🙄
1806948323118620,Bùi Trang,Chả lá lốt đen ốm yếu :)))
1806889396457846,Thành Công Nguyễn,Bánh nude buồn
1806775383135914,Vuong Khanh,Hộp cơm xanh lười biếng
1806762233137229,Nguyễn Ngọc Thiên Trang,Bún mộc nu de chán chít moẹ !!
1806759246470861,Nguyễn Huệ Quân,Bánh xèo trắng lo âu
1806726099807509,Ngân K Phan,Cá kho xanh như shit =))) Tiffany Pham
1806711683142284,Võ Hoàng Khánh Hạ,Bánh tráng trộn đen đói bụng :))
1806558799824239,Long Quốc Huấn,Bánh mỳ xanh buồn bã 😒
1806479013165551,Charlotte Spandora,Thịt bò khô trắng mỏi mệt ?
1806464069833712,Trang Anh,Thạch đào nâu zui zẻ =)))
1805830623230390,Linh Linhh,Ớt chuông be cáu vlin :))
1812008935945892,Moon Nhật Anh,Mì tôm đen vui vẻ 🥰❓
1807004319779687,Cao Anh Ngoc,Bánh socola đen trống rỗng 🚀
1807944876352298,Trần Thị Thiên Hương,Nuôi trắng đang dui 🤣
1807533563060096,Khai An,Gà rán xanh lo lắng 😂
1808010426345743,Ngân Kim Nguyễn,Thịt kho xanh bình thường 🥲
1807017833111669,Lê Nguyễn Thảo Ly,Mì hồng mệt mỏi
1806797889800330,Phạm Minh Ngọc,Sữa chua xanh láaa zui zẻee
1808000353013417,Lương Trần Đài Nguyên,Bánh canh hồng lười biếng :)))
1807522786394507,Đoàn Hương,Trinh Ly bò đen mệt
1811157069364412,Nguyễn Hoàng Yến,Gà pink iu đời😜
1807793236367462,Đào Duy Anh,Mì cay da người buồn ngủ
1807688893044563,Hoài Thiên Phương,Táo trắng mắc ói
1806733796473406,Vũ Việt Chinh,Bún đậu mắm tôm đen mệt mỏi
1807418676404918,Phương Anh,Tôm hấp đen vui vẻ . :))
1811981779281941,Eri Oichi,Mì tôm đỏ trầm đang buồn ỉa
1806457816501004,Nguyễn Thị Nhung,bánh bao đen buồn ngủ
1807712206375565,Duc Nguyen,Bánh mì chảo nude nứng loz
1806828013130651,Emmy Nguyen,cánh gà chiên đen đau bụng😃?
1811228466023939,Hoàng Thu Hà,Tôm sốt thái trắng bình thường 🌝
1810484812764971,Eric Nguyen,Bún thái xám trống rỗng
1810598112753641,Danny DK Nguyen,Udon đen nhức đầu 🫤
1807541823059270,Dương Minh Hằng,Bánh canh ghẹ trắng say rượu 😂
1806789823134470,Trịnh Nguyễn Hân,Cơm xíu mại hồng buồn bã
1811167862696666,Hồng Nghệ,Super sundae Dâu tây xanh ko nghĩ gì cả 🤣🤣
1807834993029953,Bùi Anh Tùng,Bạch tuộc trắng bình thường 🤣🤣
1807957883017664,Quản T. Thu Trang,Ức gà đen lo lắng🤔
1812673592546093,Thu Thuỷ,Cơm trắng đau đầu
1807500699730049,Lê Thanh Tuấn,Bún cá vàng vui vẻ 🤣
1808235899656529,Tran Trung Hieu,Bê trắng nứng :v
1807298366416949,Andrew Bin Nguyễn,Phở sườn bò trần như nhộng bình thường
1811054516041334,Trần Hạnh,Phong Đức Nguyễn trứng luộc hồng cánh sen đang hờn =))
