comment_id,user_name,content
2033179470495503,Triệu Thanh Hiếu,Phí Phương Mai hot quá =))
2033475520465898,Nguyễn Trọng Khánh,Không ai khác chính là Thanh Thảo
2032924607187656,Ng Thanh Vu,Hà Bảo Ngọc hồi đấy mà có locket chắc bạn cũng chụp
2033145807165536,Ngô Hiền Nhi,Nguyễn Thị Diệu My bà cố
2032973057182811,Cao Tuyet Nhi,Nguyễn Chi kiêp nạn hoài 😂
2032875210525929,Maii Anhh,Nguyễn Minh ý là ngã chưa kịp chụp loket đã đứng dậy rồi
2032903787189738,Trần Thu Ngân Hà,Tran Dieu Huong Trang Dương Quốc Tuấn sống ảo trc. Dọn sau hahaa
2032872510526199,Ty Tran,Zoe Truong còn việc của tui là cười vô mặt á 😌
2032980043848779,Đan Trâm,Tien Le hahaa ik chag
2032870500526400,Phan Huỳnh Gia,nhớ ly matcha frezee ko ?? DieuHoa ThanNguyen :))
2032895850523865,Phương Nhung,Đoàn Bích Thảo chả biết sao lại tự liên tưởng đến t 😂
2032903157189801,Vũ Bích Loan,Van Anh m đấy
2032874357192681,Ngọc Ánh,Thu Hà lóc két cái đã 🤡
2033107130502737,Nguyễn Thành Phát,Nguyễn Hoàng Việt Anh lóc kẹt lóc kẹt
2032872207192896,Bùi Thị Thùy Duyên,Le Thuy Lih bữa quên chụpp
2032900537190063,Mai Ha Anh,Hà My chắc chắn là m
2032871050526345,Mạc Hường,Lưu Trung Vĩnh quen
2032936013853182,Việt Lio,Cứu Phương già đi Kiều Kiều Trang Kim Ngân Lee Hiền Nguyễn Kim Ngân
2033192077160909,Anh Nguyen,Vũ Bích Thuỳ quen nhe :))
2033729063773877,Tư Đô,Dì thì dì locket cái đã
2032985837181533,Nguyễn Phương,Quen :))
2032877010525749,Phạm Ngọc Hương,Sống ảo cái đã
2032912760522174,Lê Quỳnh,Hài dữ :)) sửa cmt kh là bị ăn đục :))
2032947183852065,Thịnh Dư,Cho mài ngựa
2032952410518209,Dâu Dâu,Locket :)))
2032900673856716,Huỳnh Như,Là.. locket
2032875793859204,Sơn Thành,Locket cái đã
2032928043853979,Nhi Đại,Nhìn cái biết ly ts phong lan :))))
2033158003830983,Tiến Phú,Locket
2032892767190840,Thanh Hương,Nguyễn My chính cô
